Dominant_Topic,Topic_Keywords,Num_Documents,Perc_Documents
0.0,"system, use, network, model, method, base, propose, time, datum, problem",2145,0.092
1.0,"ax, tq, relief, sinus, mistaken, obfuscate, colleague, recipient, unreasonable, instruct",12,0.0005
2.0,"image, model, use, base, method, datum, crime, result, study, learn",610,0.0262
3.0,"show, give, result, theory, function, space, problem, solution, set, prove",3620,0.1553
4.0,"say, reply, hear, believe, would, may, know, think, question, word",955,0.041
5.0,"line, use, file, write, system, window, program, need, would, key",4332,0.1858
6.0,"would, say, right, people, government, write, gun, line, article, go",1063,0.0456
7.0,"model, find, energy, result, show, use, state, high, study, field",5599,0.2402
8.0,"write, line, would, go, people, think, article, be, make, say",4710,0.202
9.0,"space, year, period, orbit, power, high, launch, time, star, system",268,0.0115
